Ratings,Wins,Time_diff,Score
0.4381140731851315,3,349,3.1471945540708552
0.13857851773111995,0,690,0.49789685918593946
0.48751468880818305,3,415,3.0562390485642847
0.38526827097371563,3,313,2.418794829650035
0.8410108228476892,6,212,3.5598004267570036
0.5558746639534783,5,212,3.834109720716539
0.5806617184224284,4,378,2.2095069626290185
0.03286587793837337,1,782,0.6171781148894985
0.9991938300053258,7,78,4.052559727105294
0.8979633822887056,6,260,3.826269974947102
0.425557583918899,2,792,0.9451135852723466
0.2144633146111108,2,666,1.2306102543113324
0.017610322465303696,1,696,1.1822517079311825
0.7891210266220867,7,82,4.925385137664314
0.5549028765614186,5,199,3.98250314221541
0.18428660731173796,1,770,0.29565772218229136
0.6544797452353226,4,412,3.1418062416452566
0.6399758104814606,5,206,3.9674128875110473
0.028030764963486665,1,954,0.2267554539168225
0.7012438334349428,6,293,3.6617858161652785
0.02101736846357971,0,615,0.9115171338103484
0.7085510553266279,6,259,3.773966706726659
0.7433916280065637,7,82,4.001988334472137
0.7262833148171751,6,255,3.734589582958203
0.29390563448878637,3,396,2.4479346491480856
0.9217294359356725,7,55,4.17798217014256
0.3684642085128108,2,686,1.3022835591545179
0.33912641155570267,3,435,2.2418019900714405
0.48077202862398527,3,413,2.8285535542948095
0.4600981594157565,3,485,3.050950748553226
0.3487411437905582,2,524,0.5114809392286943
0.755836269504767,7,119,4.0163493550908775
0.42917629550392544,3,485,2.553303479811927
0.4593590012703369,2,784,1.179562794917154
0.031031731919918815,0,665,0.8995483452413484
0.775280344375834,6,240,3.7801107540850687
0.40708533766581756,2,799,0.34517298622253134
0.5180917359138664,5,264,3.834699484697491
0.22985857477842153,2,911,0.48013805059997394
0.0008818602027538258,1,626,0.31283384595924946
0.8028405284893508,7,82,4.3278988668760014
0.7956559477562076,6,174,3.714049103824369
0.1894950388264267,1,946,0.681088207160204
0.36855093938101247,3,422,3.176790518188718
0.8776287460697264,6,209,3.8958084002141375
0.6985671203294161,5,218,3.6037698402640506
0.020123636533599276,0,977,0.697039189724769
0.716306338894001,6,253,3.585573978921545
0.04736555162671208,0,726,0.9411406432969325
0.8753117665713283,6,240,3.6081463553475195
0.30119777445486096,3,437,2.474662058772027
0.9374010652211874,6,299,3.990977477661422
0.299843201411506,2,894,0.36710161290670756
0.3562236054236928,3,413,3.0988645615857493
0.05581735676291999,1,546,0.5521658812279038
0.6832051147491511,5,201,3.5451308155233257
0.5091813594963235,5,198,3.984213160514286
0.6521008585847866,4,442,2.467816277319654
0.28885724266316215,2,702,1.1352105194212812
0.6991129083713953,4,307,2.176689307141884
0.739737393079651,6,173,3.6770074344353363
0.8900506344174615,7,130,4.605430786163686
0.9122319440445298,6,259,3.6471082379320987
0.9682174036022722,7,103,4.161313807232386
0.321626329751206,3,348,2.613626672379577
0.5752632266624689,4,309,2.6902334579095872
0.8965234004341366,7,80,3.946547592442269
0.35580766777354145,2,876,0.4340471817506258
0.7850357468686849,6,297,3.573941960031588
0.07594391074693885,1,510,1.0415050349241575
0.5784364315129576,5,217,3.74558849495577
0.23154222448717654,2,617,1.1731409300512419
0.17088973194720547,0,671,1.351000838278312
0.8014835712152629,7,106,4.374019618179093
0.9004034262031502,7,84,4.37333708435107
0.9946440411370712,7,121,4.044043845415258
0.41846389430723263,3,376,2.1049422998513605
0.5295051065144472,4,322,2.641910695594599
0.2596025132974491,2,677,1.3921653728400234
0.22961115485545036,3,341,2.4949333564182212
0.7662277527513066,7,110,3.805829793502143
0.15867752862853945,1,752,0.9998250363434612
0.07407348773079214,0,575,0.23263680997922542
0.17817535309708565,1,939,0.14144393754364365
0.6311660308298259,5,247,3.601016435117489
0.18485610707981637,0,747,1.475695787118796
0.6288995598121723,4,498,2.8810982804544563
0.4427961923213567,3,474,3.077268787497767
0.7271652226077728,7,80,3.911394383676094
0.17728471825693337,0,832,1.4320029500158935
0.8514921752148124,6,181,3.642382650338883
0.8256974414485249,7,88,4.6392207996985055
0.7549398059804349,6,273,3.5666240667121123
0.8820637246955239,6,246,3.779512211174897
0.3401001913205386,2,743,1.0988976292140142
0.5869971143108971,5,241,3.9613584702196256
0.07648895168259284,1,797,1.124097915113198
0.02315383011773875,1,799,0.26784922618004253
0.010904157728113262,0,630,0.284323758657122
0.7274049036447222,7,51,4.75904208365838
0.1287761523756148,1,927,1.2409795585353396
0.06281073373398849,1,568,0.8569530735048282
0.6186286027309261,4,374,3.023809009659212
0.09577057239342113,1,791,0.026520632567610836
0.7054744968033805,7,148,3.70793367525052
0.36491996127016024,2,927,0.6388459519149388
0.7961323096591643,6,251,3.5654014129522915
0.8793826542566723,7,101,4.836985537313388
0.9959571677574445,6,266,3.5955173732115355
0.39210794727298526,2,660,0.30941337087373144
0.9026896145727,7,147,3.717676063089172
0.5815879965054038,5,199,3.9959005287887646
0.8908549441297965,7,87,4.940499683697683
0.7056264269209606,6,234,3.88792443441758
0.34858765334959796,2,953,0.3730013310112621
0.4205215345411304,3,336,3.005804601559392
0.5920823101157262,5,195,3.6826936825302017
0.15767342688241937,1,515,0.47203276857744564
0.6903473097688935,4,490,2.033346193913792
0.6953932171708666,5,259,3.9292867169008976
0.4687790620836543,2,625,0.03492438047880997
0.5083715136233755,5,198,3.864857121696419
0.7467055309962732,7,105,3.7926461369773934
0.4003153950577044,2,594,0.9086160245424248
0.8620418799292573,6,184,3.509322345174295
0.34731155341525266,2,935,1.3434142117245675
0.49755370533248056,2,601,0.9293096449697095
0.48375595204388977,3,372,2.3092489284701245
0.6851707003992885,5,203,3.76532545247652
0.7262653342159577,7,86,3.9288950913464173
0.8465459173794836,6,182,3.6762725699173537
0.7704573763398455,6,187,3.844442192356582
0.8083984807588378,6,213,3.8860229954502867
0.380551451094985,3,474,2.7983140039268335
0.37648541174684247,2,559,0.8620707606608542
0.19240871537133408,0,555,0.48335845338698563
0.15844772826595988,0,706,1.1038285090094184
0.30891883438381773,3,424,2.3179185561910542
0.012018564072158622,1,632,0.5122111355147322
0.37374114676028647,2,642,1.323983946142788
0.5261373480170866,5,226,3.7049659412887403
0.12570513008669904,1,592,0.5836092788403228
0.8185634823564258,6,299,3.5274213827889342
0.27629584580257494,2,692,1.0031363105634632
0.16187303765122274,1,956,1.4327690414514893
0.4341486635348488,3,406,2.4872205422324436
0.14603144176405625,0,858,0.11268943308450213
0.7506850449850058,6,265,3.795286712394404
0.25948728490393136,3,395,2.6152231848991616
0.44846480397851163,2,808,1.3309782664058645
0.9913908014299575,6,279,3.8331286288486206
0.8557710452417139,6,180,3.9011885332505236
0.9309736157418526,6,294,3.511339454036757
0.5224056756021451,5,285,3.5152190579664877
0.7476692068948249,7,77,3.9972568556628447
0.48289722799327794,3,378,2.658937977547145
0.3922684716304268,2,878,0.6137443070577775
0.6226210874603899,4,318,2.5568177481182737
0.49588925910784565,3,478,2.1721827309573625
0.9743557635662341,6,287,3.983338728814646
0.4873395750731321,2,590,0.5573763601791787
0.7434672737608827,7,63,4.363912056137561
0.2754360269470473,2,870,1.2814680297842838
0.8206015630706563,6,272,3.780421504227493
0.34052985138529945,2,910,1.2846924790219112
0.1570021463550625,1,768,0.7910629593839653
0.7245824726013224,7,51,4.583875248092175
0.46549370019839675,2,907,0.602956454999729
0.8588796718961278,7,90,4.212490126015525
0.48831204702396125,2,555,0.14159979190357846
0.3036882270034864,2,985,0.1828252718567746
0.3434618484615961,2,606,0.8658205867730833
0.27754177805330815,3,348,2.405550776038854
0.4578262456288873,3,371,2.007346139465936
0.32674441758026596,2,867,0.8817007863413765
0.6492282687568679,5,283,3.6993349324870906
0.7332215323629216,7,88,4.189095712188075
0.8426979515456894,6,178,3.7224380306158347
0.7368144401407005,6,177,3.8310960651860504
0.5270320749887243,5,222,3.553754773744782
0.09136767957293179,1,553,0.39784391947580633
0.14598247960360555,0,799,0.6112528614934674
0.6112172535132648,5,248,3.6085502466001635
0.8604735868409995,6,185,3.747531047010114
0.19057814986242516,0,930,0.5061063525452938
0.6939212284586527,4,473,2.3365985329737313
0.9192299912154182,6,240,3.821199485712708
0.2487203932464671,2,872,0.26007088607368073
0.30020203370798015,3,333,3.0340225695298617
0.1737503200334296,1,597,1.4442177106436183
0.8603288503754696,6,253,3.9930951223547835
0.4055044216585164,2,803,1.4710165023220594
0.10740574640931821,1,522,1.2690138511571303
0.32387265804633536,3,372,2.140858236548665
0.8120775541225931,6,273,3.7006697229601784
0.859776220376409,6,262,3.876648458821223
0.700547897827233,7,50,4.183525105937878
0.683187913491091,4,390,2.991470946024138
0.569137963477216,5,249,3.5146205238445094
0.8249976291801707,7,85,4.537548150824437
